   280 FAILURE   3     413     979866    2372.56
   314 FAILURE   3     414    1296958    3132.75
   280 FAILURE  30    2663    5516199    2071.42
   314 FAILURE  30    2478    6298471    2541.76
  4323 FAILURE  30    4005    8431250    2105.18
  1973 FAILURE  30    4645    9241430    1989.54
  9295 FAILURE  30    4275   12118457    2834.73
  3121 FAILURE  30    4793   11586300    2417.34
   334 FAILURE  30    3164   10142974    3205.74
  6738 FAILURE  30    4830   12825276    2655.34
  9213 FAILURE  30    5565   14311663    2571.73
  7285 SUCCESS 200    4     815    2263915    2777.81
   228 SUCCESS 198    4     924    2572153    2783.72
  7561 SUCCESS 200    5     642    2446199    3810.28
  4507 SUCCESS 200   12    2430    7155023    2944.45
  9086 FAILURE  26   30    3577    3966980    1109.02
  2370 SUCCESS 200   18    2515    7050408    2803.34
   862 FAILURE   8   30    2906    5679516    1954.41
  7628 FAILURE  16   30    3481    6563703    1885.58
  5987 FAILURE  40   30    3423    7169521    2094.51
  3531 FAILURE   9   30    3979   10039850    2523.21
  3121 FAILURE  65   30    4793   11586300    2417.34
  2493 FAILURE  10   30    5069   10895739    2149.48
  5731 FAILURE  13   30    5063   12336789    2436.66
  6529 FAILURE  14   30    4530   11953797    2638.81
  2712 FAILURE  12   30    5025   11670660    2322.52
  6040 FAILURE  50   30    4703   12594198    2677.91
  3172 FAILURE  12   30    4814   12941431    2688.29
  9948 FAILURE  36   30    5040   13236100    2626.21
  7551 FAILURE  13   30    5572   14397106    2583.83
  4068 FAILURE  68   30    5195   15748798    3031.53
  6192 FAILURE  16   30    5618   16320666    2905.07
  9684 FAILURE 161   30    5756   18002642    3127.63
